background_changed_fraction,background_mean_abs,background_rms,background_voxels,coord_mask_center_distance_vox,generator,highpass_difference_rms,img_id,inside_changed_fraction,inside_mean_abs,inside_rms,inside_voxels,mask_z_delta,orig_id,outside_changed_fraction,pristine_shape,raw_mask_shape,ring_1_changed_fraction,ring_1_mean_abs,ring_1_rms,ring_1_voxels,ring_2_5_changed_fraction,ring_2_5_mean_abs,ring_2_5_rms,ring_2_5_voxels,scan_shape,sdir_id,spacing_group,spacing_x,spacing_y,spacing_z,status,type
0.0,0.0,0.0,113346516,1.5,pix2pix,6.787312422622079,inj_1010,0.47884118180010166,20.042096656575254,88.37184300106787,90506,1,LIDC-IDRI-0542,0.0,433x512x512,434x512x512,0.0,0.0,0.0,13098,0.0,0.0,0.0,58232,433x512x512,31184,z=1.25,0.546875,0.546875,1.25,ok,inj
0.0,0.0,0.0,38981693,1.4142135623730951,pix2pix,7.851626168731759,inj_1144,0.4150770413746192,19.399313873362317,94.20456723523546,33813,1,LIDC-IDRI-0607,0.0,149x512x512,150x512x512,0.0,0.0,0.0,7854,0.0,0.0,0.0,36096,149x512x512,30082,z=2.5,0.625,0.625,2.5,ok,inj
0.0,0.0,0.0,86401832,0.8660254037844386,pix2pix,7.886479257706984,inj_1193,0.49153202947845803,16.398632369614514,62.421458586478835,56448,1,LIDC-IDRI-0636,0.0,330x512x512,331x512x512,0.0,0.0,0.0,8904,0.0,0.0,0.0,40336,330x512x512,3000662,z=1,0.76171875,0.76171875,1.0,ok,inj
0.0,0.0,0.0,64146004,1.5,pix2pix,6.8158295501110935,inj_121,0.4636372831639104,22.238431194052495,96.20560566133103,39546,1,LIDC-IDRI-0056,0.0,245x512x512,246x512x512,0.0,0.0,0.0,7098,0.0,0.0,0.0,32632,245x512x512,3000535,z=1.25,0.8261719942092896,0.8261719942092896,1.25,ok,inj
0.0,0.0,0.0,108160576,0.8660254037844386,pix2pix,8.06482262082323,inj_1255,0.49545586738403374,20.332848625854297,65.23832746449732,55016,1,LIDC-IDRI-0657,0.0,413x512x512,414x512x512,0.0,0.0,0.0,9016,0.0,0.0,0.0,40864,413x512x512,30702,z=1.25,0.703125,0.703125,1.25,ok,inj
0.0,0.0,0.0,62809664,0.8660254037844386,pix2pix,8.048604550140174,inj_1272,0.5087247346226552,15.802584702631961,44.57855600204621,55016,0,LIDC-IDRI-0662,0.0,240x512x512,240x512x512,0.0,0.0,0.0,9016,0.0,0.0,0.0,40864,240x512x512,2,z=1.25,0.703125,0.703125,1.25,ok,inj
0.0,0.0,0.0,135931616,0.8660254037844386,pix2pix,6.1272523495178906,inj_1290,0.4763846153846154,18.854692307692307,89.21999215422517,65000,1,LIDC-IDRI-0673,0.0,519x512x512,520x512x512,0.0,0.0,0.0,10200,0.0,0.0,0.0,45920,519x512x512,31167,z=1.25,0.6445310115814209,0.6445310115814209,1.25,ok,inj
0.0,0.0,0.0,68310740,1.5,pix2pix,7.875760274179445,inj_134,0.45314622000905386,27.539558449698784,115.16057539735029,57434,1,LIDC-IDRI-0068,0.0,261x512x512,262x512x512,0.0,0.0,0.0,9306,0.0,0.0,0.0,42104,261x512x512,4,z=1.25,0.6835939884185791,0.6835939884185791,1.25,ok,inj
0.7868132755799535,1573.626551159907,1774.0499153969185,35579101,0.0,pix2pix,12.612191264069924,inj_1466,1.0,1974.4216832729953,1975.509761877683,31213,73,LIDC-IDRI-0759,0.9988878949036634,136x512x512,209x512x512,1.0,2000.0,2000.0,7350,1.0,2000.0,2000.0,33920,136x512x512,2,z=2.5,0.6464840173721313,0.6464840173721313,2.5,ok,inj
0.0,0.0,0.0,63042660,0.5,pix2pix,11.75211019333842,inj_1477,0.46225045869047293,17.905769915381878,49.042735842656164,73034,0,LIDC-IDRI-0762,0.0,241x512x512,241x512x512,0.0,0.0,0.0,11130,0.0,0.0,0.0,49880,241x512x512,2,z=1.25,0.609375,0.609375,1.25,ok,inj
